18,6,1962,3.4,4.4,0,19.8,14.4,10.2,62.75,4.9333
19,6,1962,3.4,3.8,0,22.3,15.5,10.4,62.75,4
20,6,1962,3.2,4.4,0,24,17.74,11.7,61.75,2.8333
21,6,1962,4.5,3.3,0,24.7,16.74,13,75,2.6
22,6,1962,2,4,0,25.6,18.2,11.8,64.25,2.1
23,6,1962,3,2.4,0,25.1,18.62,13.2,59.75,1.6667
24,6,1962,3.8,4.8,0,25,19.56,17.3,66.25,0.33333
25,6,1962,2.7,4,0,25.9,19.1,14.6,64,1.6667
26,6,1962,2.8,4,0,23.6,17.4,12,66,2.3333
27,6,1962,4,3.6,0,20.2,15.42,11.4,NaN,3.3
28,6,1962,3,4.3,0,20.6,15.26,11,74.75,4.5
29,6,1962,3,2.2,0,20.8,15.28,9.8,63.5,5.3333
30,6,1962,4,5.4,0,22.6,16.44,11,59.25,3.6333
1,4,1963,4.9,7.7,0,31,24.86,19.1,56,2.5333
2,4,1963,5.6,10.4,0,31.6,24.14,18.9,55.75,2.1667
3,4,1963,4.7,10.5,0,31,24.48,19.2,60.75,1.5
4,4,1963,5.8,9.5,0,30.2,24.04,20.6,60.75,2.8333
5,4,1963,6.1,8.2,0,28.8,23.28,19,56.75,2.8333
6,4,1963,5.5,10.4,0,29.4,23.14,18.1,58.5,2
7,4,1963,5.3,7.7,0,30.2,23.8,18.7,54.25,0.86667
8,4,1963,5.2,8.2,0,31,23.52,20.3,60.5,3.1
9,4,1963,5,9.7,0,31,24.98,20.5,55.25,1.5
10,4,1963,6,9.6,4,31.4,24.96,18.8,59.75,1.6
11,4,1963,4.2,3.1,2,29.2,23.58,19.1,77.75,0
12,4,1963,3.4,4.5,0,29.4,24.26,20.1,64.75,0
13,4,1963,3.4,6,0,31,24.34,19.1,63.75,0.66667
14,4,1963,4.9,1.7,0,28.8,22.24,18.4,64,2.8333
15,4,1963,5.6,9.5,0,27.8,21.36,17.2,62,2.8333
16,4,1963,4.5,7.4,0,29,23.2,18.2,63.75,2.1667
17,4,1963,4.5,1.2,0,25.4,21.38,16.9,69.5,4.6
18,4,1963,4,10,0,27,21.26,16.5,69.25,1.3333
19,4,1963,4,5.9,0,26,20.58,17.3,71.75,0
20,4,1963,3.5,6.1,0,28.2,21.5,17.3,71.25,3.8333
21,4,1963,3.6,9.2,0,28.2,22.48,18.4,64.5,3.2333
22,4,1963,5.1,11.4,0,29,23.02,17.7,66,2.3667
23,4,1963,5.6,11,0,29,22.76,18.2,60.25,5.1667
24,4,1963,5.5,10.4,0,29.1,22.26,16.6,58.25,2.7667
25,4,1963,5.5,10.4,0,28,22.42,17.9,69.75,0.83333
26,4,1963,4.5,7.9,0,26.4,21.1,17.1,59.5,1.3333
27,4,1963,5.9,10,0,28.4,22.76,17.6,63,1.8333
28,4,1963,5.9,10.2,0,28.9,22.16,17.6,60.25,1.7
