48 -> Machine Learning: Neural network  ||  Triangulação: Optimized Normal Ratio  || Meta Learning: Support Vector  |Resultados para 1 testes| --> Erro Absoluto: 0.04438071032053825  |  Erro Relativo: 0.0013782829292092625  |  Erro(%): 4.438071032053825  |  R2: 0.3409548761399984
49 -> Machine Learning: Nearest Neighbors  ||  Triangulação: Arithmetic Average  || Meta Learning: Decision Trees  |Resultados para 1 testes| --> Erro Absoluto: 0.07051111111111112  |  Erro Relativo: 0.002189786059351277  |  Erro(%): 7.051111111111112  |  R2: -0.2663593106719644
50 -> Machine Learning: Nearest Neighbors  ||  Triangulação: Arithmetic Average  || Meta Learning: Neural network  |Resultados para 1 testes| --> Erro Absoluto: 0.03991868791156462  |  Erro Relativo: 0.0012397108047069757  |  Erro(%): 3.991868791156462  |  R2: -0.005983032260416854
51 -> Machine Learning: Nearest Neighbors  ||  Triangulação: Arithmetic Average  || Meta Learning: Nearest Neighbors  |Resultados para 1 testes| --> Erro Absoluto: 0.05698844444444445  |  Erro Relativo: 0.0017698274672187718  |  Erro(%): 5.698844444444445  |  R2: 0.10535889045488966
52 -> Machine Learning: Nearest Neighbors  ||  Triangulação: Arithmetic Average  || Meta Learning: Support Vector  |Resultados para 1 testes| --> Erro Absoluto: 0.04415454059796949  |  Erro Relativo: 0.0013712590247816612  |  Erro(%): 4.415454059796949  |  R2: -0.008685786306797061
53 -> Machine Learning: Nearest Neighbors  ||  Triangulação: Inverse Distance Weighted  || Meta Learning: Decision Trees  |Resultados para 1 testes| --> Erro Absoluto: 0.0035555555555555588  |  Erro Relativo: 0.00011042097998619746  |  Erro(%): 0.3555555555555559  |  R2: -0.15752126089021234
54 -> Machine Learning: Nearest Neighbors  ||  Triangulação: Inverse Distance Weighted  || Meta Learning: Neural network  |Resultados para 1 testes| --> Erro Absoluto: 0.03939671128474686  |  Erro Relativo: 0.0012235003504579769  |  Erro(%): 3.9396711284746857  |  R2: -0.003818188606303341
55 -> Machine Learning: Nearest Neighbors  ||  Triangulação: Inverse Distance Weighted  || Meta Learning: Nearest Neighbors  |Resultados para 1 testes| --> Erro Absoluto: 0.05698844444444445  |  Erro Relativo: 0.0017698274672187718  |  Erro(%): 5.698844444444445  |  R2: 0.09541910101555873
56 -> Machine Learning: Nearest Neighbors  ||  Triangulação: Inverse Distance Weighted  || Meta Learning: Support Vector  |Resultados para 1 testes| --> Erro Absoluto: 0.04401902741848722  |  Erro Relativo: 0.0013670505409468078  |  Erro(%): 4.401902741848722  |  R2: -0.008909027939719039
57 -> Machine Learning: Nearest Neighbors  ||  Triangulação: Regional Weight  || Meta Learning: Decision Trees  |Resultados para 1 testes| --> Erro Absoluto: 0.0031111111111111157  |  Erro Relativo: 9.661835748792284e-05  |  Erro(%): 0.31111111111111156  |  R2: -0.2061829913547253
58 -> Machine Learning: Nearest Neighbors  ||  Triangulação: Regional Weight  || Meta Learning: Neural network  |Resultados para 1 testes| --> Erro Absoluto: 0.03926650185590824  |  Erro Relativo: 0.001219456579376032  |  Erro(%): 3.926650185590824  |  R2: 0.002822422117887302
59 -> Machine Learning: Nearest Neighbors  ||  Triangulação: Regional Weight  || Meta Learning: Nearest Neighbors  |Resultados para 1 testes| --> Erro Absoluto: 0.05698844444444445  |  Erro Relativo: 0.0017698274672187718  |  Erro(%): 5.698844444444445  |  R2: 0.12544296213527306
60 -> Machine Learning: Nearest Neighbors  ||  Triangulação: Regional Weight  || Meta Learning: Support Vector  |Resultados para 1 testes| --> Erro Absoluto: 0.046108362288751197  |  Erro Relativo: 0.0014319367170419627  |  Erro(%): 4.61083622887512  |  R2: 0.03858157659584671
61 -> Machine Learning: Nearest Neighbors  ||  Triangulação: Optimized Normal Ratio  || Meta Learning: Decision Trees  |Resultados para 1 testes| --> Erro Absoluto: 0.0033333333333333414  |  Erro Relativo: 0.00010351966873706028  |  Erro(%): 0.33333333333333415  |  R2: -0.2617947162054133
62 -> Machine Learning: Nearest Neighbors  ||  Triangulação: Optimized Normal Ratio  || Meta Learning: Neural network  |Resultados para 1 testes| --> Erro Absoluto: 0.0394220715588351  |  Erro Relativo: 0.0012242879366097857  |  Erro(%): 3.94220715588351  |  R2: -0.002773563935656087
63 -> Machine Learning: Nearest Neighbors  ||  Triangulação: Optimized Normal Ratio  || Meta Learning: Nearest Neighbors  |Resultados para 1 testes| --> Erro Absoluto: 0.05698844444444445  |  Erro Relativo: 0.0017698274672187718  |  Erro(%): 5.698844444444445  |  R2: 0.1237055658408509
64 -> Machine Learning: Nearest Neighbors  ||  Triangulação: Optimized Normal Ratio  || Meta Learning: Support Vector  |Resultados para 1 testes| --> Erro Absoluto: 0.045880596554653735  |  Erro Relativo: 0.001424863247038936  |  Erro(%): 4.588059655465374  |  R2: 0.019630181750978415
65 -> Machine Learning: Support Vector  ||  Triangulação: Arithmetic Average  || Meta Learning: Decision Trees  |Resultados para 1 testes| --> Erro Absoluto: 0.07041777777777779  |  Erro Relativo: 0.0021868875086266393  |  Erro(%): 7.041777777777779  |  R2: -0.21218054961868882
66 -> Machine Learning: Support Vector  ||  Triangulação: Arithmetic Average  || Meta Learning: Neural network  |Resultados para 1 testes| --> Erro Absoluto: 0.03988783560503961  |  Erro Relativo: 0.0012387526585416026  |  Erro(%): 3.988783560503961  |  R2: -0.009895131498720122
67 -> Machine Learning: Support Vector  ||  Triangulação: Arithmetic Average  || Meta Learning: Nearest Neighbors  |Resultados para 1 testes| --> Erro Absoluto: 0.05698844444444445  |  Erro Relativo: 0.0017698274672187718  |  Erro(%): 5.698844444444445  |  R2: 0.0005073775840355177
68 -> Machine Learning: Support Vector  ||  Triangulação: Arithmetic Average  || Meta Learning: Support Vector  |Resultados para 1 testes| --> Erro Absoluto: 0.03927724144434019  |  Erro Relativo: 0.0012197901069670863  |  Erro(%): 3.9277241444340185  |  R2: -0.004096748676807316
69 -> Machine Learning: Support Vector  ||  Triangulação: Inverse Distance Weighted  || Meta Learning: Decision Trees  |Resultados para 1 testes| --> Erro Absoluto: 0.07028444444444445  |  Erro Relativo: 0.0021827467218771567  |  Erro(%): 7.028444444444445  |  R2: -0.5151928781024846
70 -> Machine Learning: Support Vector  ||  Triangulação: Inverse Distance Weighted  || Meta Learning: Neural network  |Resultados para 1 testes| --> Erro Absoluto: 0.03991615209958495  |  Erro Relativo: 0.001239632052782141  |  Erro(%): 3.991615209958495  |  R2: -0.006519081179004571
71 -> Machine Learning: Support Vector  ||  Triangulação: Inverse Distance Weighted  || Meta Learning: Nearest Neighbors  |Resultados para 1 testes| --> Erro Absoluto: 0.05698844444444445  |  Erro Relativo: 0.0017698274672187718  |  Erro(%): 5.698844444444445  |  R2: 0.009725560931058697
72 -> Machine Learning: Support Vector  ||  Triangulação: Inverse Distance Weighted  || Meta Learning: Support Vector  |Resultados para 1 testes| --> Erro Absoluto: 0.03574934237273522  |  Erro Relativo: 0.001110228023997988  |  Erro(%): 3.574934237273522  |  R2: -0.006832099760681221
73 -> Machine Learning: Support Vector  ||  Triangulação: Regional Weight  || Meta Learning: Decision Trees  |Resultados para 1 testes| --> Erro Absoluto: 0.07055111111111112  |  Erro Relativo: 0.002191028295376122  |  Erro(%): 7.0551111111111116  |  R2: -0.42984432462185884
74 -> Machine Learning: Support Vector  ||  Triangulação: Regional Weight  || Meta Learning: Neural network  |Resultados para 1 testes| --> Erro Absoluto: 0.03887822024988463  |  Erro Relativo: 0.0012073981444063549  |  Erro(%): 3.887822024988463  |  R2: 0.004514080815095078
75 -> Machine Learning: Support Vector  ||  Triangulação: Regional Weight  || Meta Learning: Nearest Neighbors  |Resultados para 1 testes| --> Erro Absoluto: 0.05698844444444445  |  Erro Relativo: 0.0017698274672187718  |  Erro(%): 5.698844444444445  |  R2: 0.08590355000532579
76 -> Machine Learning: Support Vector  ||  Triangulação: Regional Weight  || Meta Learning: Support Vector  |Resultados para 1 testes| --> Erro Absoluto: 0.03826269593150865  |  Erro Relativo: 0.001188282482344989  |  Erro(%): 3.826269593150865  |  R2: 0.017101447218568766
77 -> Machine Learning: Support Vector  ||  Triangulação: Optimized Normal Ratio  || Meta Learning: Decision Trees  |Resultados para 1 testes| --> Erro Absoluto: 0.07051111111111112  |  Erro Relativo: 0.002189786059351277  |  Erro(%): 7.051111111111112  |  R2: -0.5859663378048046
78 -> Machine Learning: Support Vector  ||  Triangulação: Optimized Normal Ratio  || Meta Learning: Neural network  |Resultados para 1 testes| --> Erro Absoluto: 0.039867151715134636  |  Erro Relativo: 0.0012381103017122556  |  Erro(%): 3.9867151715134637  |  R2: -0.0029679690518638058
79 -> Machine Learning: Support Vector  ||  Triangulação: Optimized Normal Ratio  || Meta Learning: Nearest Neighbors  |Resultados para 1 testes| --> Erro Absoluto: 0.05698844444444445  |  Erro Relativo: 0.0017698274672187718  |  Erro(%): 5.698844444444445  |  R2: -0.009117237165040093
80 -> Machine Learning: Support Vector  ||  Triangulação: Optimized Normal Ratio  || Meta Learning: Support Vector  |Resultados para 1 testes| --> Erro Absoluto: 0.035982841064599515  |  Erro Relativo: 0.0011174795361676869  |  Erro(%): 3.5982841064599516  |  R2: -0.007180427233637765
