2011, 12, 23, '20.904167', '32.8', '21.6', '3.0125', ''
2011, 12, 24, '20.2875', '33', '21', '2.604167', ''
2011, 12, 25, '20.8125', '34.9', '21.9', '2.633333', ''
2011, 12, 26, '22.158333', '33.4', '23.1', '2.570833', ''
2011, 12, 27, '22.029167', '33.8', '23.5', '2.525', ''
2011, 12, 28, '21.9625', '34.2', '23.2', '3.1125', ''
2011, 12, 29, '20.929167', '34.6', '22.4', '2.816667', ''
2011, 12, 30, '20.945833', '35.9', '22.1', '2.65', ''
2011, 12, 31, '21.633333', '33.7', '21.9', '2.6', ''
2012, 1, 1, '21.3625', '33.2', '22.9', '3.566667', ''
2012, 1, 2, '20.575', '34.9', '23.1', '3.816667', ''
2012, 1, 3, '20.2625', '34.8', '21.1', '3.120833', ''
2012, 1, 4, '21.8875', '34.2', '22.2', '2.495833', ''
2012, 1, 5, '22.970833', '29.6', '24.1', '1.604167', ''
2012, 1, 6, '21.7125', '34.5', '22.2', '2.858333', ''
2012, 1, 7, '20.816667', '35.6', '21.7', '2.8', ''
2012, 1, 8, '20.95', '35.1', '20.9', '2.404167', ''
2012, 1, 9, '21.570833', '34.1', '22.5', '2.45', ''
2012, 1, 10, '20.708333', '35.9', '21.7', '2.8', ''
2012, 1, 11, '21.033333', '34.6', '21.1', '2.079167', ''
2012, 1, 12, '21.5625', '34.3', '22.2', '2.875', ''
2012, 1, 13, '21.620833', '34.5', '22.3', '3.429167', ''
2012, 1, 14, '21.054167', '35.9', '21.6', '3.0625', ''
2012, 1, 15, '21.5625', '34.2', '21.4', '2.358333', ''
2012, 1, 16, '21.775', '25.1', '22.1', '1.654167', ''
2012, 1, 17, '20.866667', '33.6', '21.4', '2.3375', ''
2012, 1, 18, '21.275', '33.5', '22.5', '2.170833', ''
2012, 1, 19, '21.745833', '31.6', '23.2', '2.004167', ''
2012, 1, 20, '21.908333', '33.9', '22', '2.1625', ''
2012, 1, 21, '22.995833', '30.9', '23.4', '1.941667', ''
2012, 1, 22, '22.366667', '32', '23.1', '2.120833', ''
2012, 1, 23, '22.408333', '30.2', '22.8', '1.8125', ''
2012, 1, 24, '22.008333', '31.7', '22.1', '1.645833', ''
2012, 1, 25, '21.983333', '32.9', '22.1', '1.995833', ''
2012, 1, 26, '22.216667', '32.9', '23', '1.929167', ''
2012, 1, 27, '21.970833', '32.8', '22.2', '2.345833', ''
2012, 1, 28, '21.583333', '32.8', '21.3', '1.9875', ''
2012, 1, 29, '21.945833', '31.8', '22.1', '2.7', ''
2012, 1, 30, '20.825', '33.3', '21.5', '2.916667', ''
2012, 1, 31, '21.241667', '33.2', '21.4', '2.375', ''
2012, 2, 1, '22.054167', '33', '22.4', '2.541667', ''
2012, 2, 2, '21.545833', '33.4', '23', '3.125', ''
2012, 2, 3, '21.2625', '33.5', '22', '2.666667', ''
2012, 2, 4, '21.741667', '32.3', '22.4', '2.2', ''
2012, 2, 5, '22.0625', '32.8', '22.2', '2.2125', ''
2012, 2, 6, '22.4125', '32.4', '21.7', '2.2375', ''
2012, 2, 7, '22.445833', '33', '22.6', '2.65', ''
2012, 2, 8, '22.483333', '30.5', '22.6', '2.295833', ''
2012, 2, 9, '22.529167', '32', '22.6', '1.825', ''
2012, 2, 10, '23.204167', '30.5', '23.5', '1.404167', ''
